"Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Fossil fuel combustion: carbon dioxide,1469.1155283482,1422.4977106949,1477.7827457219,1508.742534554,1554.0699121139,1580.7956334259,1627.474655028,1643.6180154758,1679.0240132489,1746.445065023,1792.3011469745,1762.5722327222,1803.1179426544,1812.0820224015,1845.3236456334,1858.6477035528,1859.215551422,1860.8223045404,1759.7611833772,1688.556494779,1696.851475923,1671.2046458826,1660.3519321191,1669.8184609658,1708.2104498124,1719.2303233126,1759.8661323231,1782.4411009176,1816.5633784167,1817.2089527354
Use of fluorinated gases,0,0,1.1689821,5.09734604,12.40641769,19.613488932,28.373833104,37.426521065,43.762914127,50.195083829,56.180975285,62.0117256775,64.48480932,66.1987384465,68.165038572,69.268510764,70.3162564665,71.1820539695,71.8629133105,71.0649747815,68.062051936,62.4338239075,57.124681929,51.5834115455,48.7538765015,46.3364928055,43.298741504,40.1397149325,38.4607436255,36.7426909905
Fossil fuel combustion: other greenhouse gases,45.6685907986,47.4004273986,50.2848956504,52.1998848738,54.0084376608,55.4427310665,56.5607196553,57.3374900096,57.5032868762,54.5119997766,53.1096270603,49.9139557441,47.5639570542,45.0542212665,42.2430460115,37.4941704973,36.4692057238,32.1589632977,29.7016752662,28.03027632,26.8304438393,25.4445164515,22.839938429,20.8657474834,18.9090973544,17.536192598,16.4208609481,15.1977314144,13.9576319871,12.8937499078
Other transportation categories,11.838675258,10.5909057919,10.7978808133,10.9950351155,11.4919904155,11.294701583,10.9613352501,11.579435176,12.1219962818,12.2487911844,12.0650899223,11.054295757,10.923330412,10.0987935863,10.2311715006,10.1776956663,9.9158322414,10.2398487114,9.5065907626,8.5470526799,10.4108368506,9.9802723033,9.1082462463,9.6432063845,10.0467975865,10.9514472657,10.3830563229,9.5506494688,9.217283136,8.885194842
Total,1526.6227944048,1480.4890438854,1540.0345042856,1577.0348005833002,1631.9767578801998,1667.1465550074001,1723.3705430374,1749.9614617264,1792.4122105339,1863.4009398130002,1913.6568392421,1885.5522099007999,1926.0900394406,1933.4337757008,1965.9629017175,1975.5880804804,1975.9168458537001,1974.403170519,1870.8323627165,1796.1987985604,1802.1548085488998,1769.0632585449,1749.4247987234,1751.9108263792,1785.9202212547998,1794.0544559818,1829.9687910981,1847.3291967333,1878.1990371653003,1875.7305884757
